company,fiscal_year,series,from_number,to_number,count,prev_filed_date_bs,next_filed_date_bs
NGG,79.80,NGG,476,476,1,2079.06.07,2079.06.07
NGG,79.80,NGG,732,732,1,2079.07.16,2079.07.17
NGG,79.80,NGG,980,980,1,2079.08.16,2079.08.16
NGG,79.80,NGG,1022,1024,3,2079.08.21,2079.08.21
NGG,79.80,NGG,1033,1033,1,2079.08.22,2079.08.23
NGG,79.80,NGG,1035,1035,1,2079.08.23,2079.08.23
NGG,79.80,NGG,1044,1048,5,2079.08.25,2079.08.25
NGG,79.80,NGG,1051,1052,2,2079.08.25,2079.08.25
NGG,79.80,NGG,1057,1059,3,2079.08.25,2079.08.26
NGG,79.80,NGG,1062,1062,1,2079.08.26,2079.08.26
NGG,79.80,NGG,1064,1064,1,2079.08.26,2079.08.26
NGG,79.80,NGG,1066,1066,1,2079.08.26,2079.08.27
NGG,79.80,NGG,1080,1080,1,2079.08.27,2079.08.27
NGG,79.80,NGG,1083,1083,1,2079.08.27,2079.08.28
NGG,79.80,NGG,1085,1085,1,2079.08.28,2079.08.28
NGG,79.80,NGG,1092,1092,1,2079.08.28,2079.08.28
NGG,79.80,NGG,1095,1095,1,2079.08.28,2079.08.28
NGG,79.80,NGG,1100,1108,9,2079.08.29,2079.08.29
NGG,79.80,NGG,1113,1116,4,2079.08.29,2079.08.29
NGG,79.80,NGG,1142,1145,4,2079.09.03,2079.09.03
NGG,79.80,NGG,1147,1147,1,2079.09.03,2079.09.04
NGG,79.80,NGG,1149,1149,1,2079.09.04,2079.09.04
NGG,79.80,NGG,1151,1151,1,2079.09.04,2079.09.04
NGG,79.80,NGG,1153,1155,3,2079.09.04,2079.09.05
NGG,79.80,NGG,1158,1162,5,2079.09.05,2079.09.05
NGG,79.80,NGG,1164,1164,1,2079.09.05,2079.09.05
NGG,79.80,NGG,1167,1171,5,2079.09.05,2079.09.06
NGG,79.80,NGG,1173,1187,15,2079.09.06,2079.09.07
NGG,79.80,NGG,1189,1202,14,2079.09.07,2079.09.10
NGG,79.80,NGG,1204,1210,7,2079.09.10,2079.09.10
NGG,79.80,NGG,1212,1213,2,2079.09.10,2079.09.11
NGG,79.80,NGG,1215,1221,7,2079.09.11,2079.09.11
NGG,79.80,NGG,1224,1228,5,2079.09.11,2079.09.12
NGG,79.80,NGG,1230,1232,3,2079.09.12,2079.09.12
NGG,79.80,NGG,1234,1236,3,2079.09.12,2079.09.13
NGG,79.80,NGG,1244,1246,3,2079.09.13,2079.09.13
NGG,79.80,NGG,1248,1249,2,2079.09.13,2079.09.14
NGG,79.80,NGG,1251,1251,1,2079.09.14,2079.09.14
NGG,79.80,NGG,1254,1254,1,2079.09.14,2079.09.14
NGG,79.80,NGG,1257,1257,1,2079.09.14,2079.09.14
NGG,79.80,NGG,1259,1261,3,2079.09.14,2079.09.15
NGG,79.80,NGG,1263,1263,1,2079.09.15,2079.09.15
NGG,79.80,NGG,1267,1267,1,2079.09.15,2079.09.15
NGG,79.80,NGG,1269,1271,3,2079.09.15,2079.09.17
